ID,Container_ID,Familiar_diet,Genetic_line,Treatment,Sex,Replicate,List,Body weight,bw,Head width,Scutum length,ow,ow_g,ag,ag_g,tw,tw_g,lg_bw,lg_ow,lg_tw,lg_ag,GSI,ag_gonad_ratio,Operator
SWS_FW3_10,SW_FW_3,CF,SW,FW,F,3,b,0.07907,79.07,52,69,12.33,0.01233,2.14,0.00214,,,1.898011739,1.090963077,,0.330413773,0.155937777,0.173560422,Y
SWS_FW3_17,SW_FW_3,CF,SW,FW,F,3,c,0.0805,80.5,52,70,23.5,0.0235,1.3,0.0013,,,1.90579588,1.371067862,,0.113943352,0.291925466,0.055319149,Y
SWS_FW3_13,SW_FW_3,CF,SW,FW,F,3,d,0.07883,78.83,53,68,20.78,0.02078,0.88,0.00088,,,1.896691527,1.317645543,,-0.055517328,0.263605226,0.042348412,Y
SWS_FW3_02,SW_FW_3,CF,SW,FW,F,3,e,0.10406,104.06,56,71,40.52,0.04052,2.67,0.00267,,,2.017283822,1.607669437,,0.426511261,0.389390736,0.065893386,Y
SWS_FW3_06,SW_FW_3,CF,SW,FW,F,3,g,0.09372,93.72,58,75,28.1,0.0281,3.37,0.00337,,,1.97183228,1.44870632,,0.527629901,0.299829279,0.119928826,Y
SWS_FW3_11,SW_FW_3,CF,SW,FW,F,3,h,0.08379,83.79,54,70,24.59,0.02459,2.38,0.00238,,,1.92319219,1.390758529,,0.376576957,0.293471775,0.096787312,Y
SWS_FW3_04,SW_FW_3,CF,SW,FW,F,3,j,0.084,84,55,73,30.71,0.03071,1.79,0.00179,,,1.924279286,1.487279816,,0.252853031,0.365595238,0.058287203,Y
SWS_FW3_09,SW_FW_3,CF,SW,FW,F,3,k,0.09185,91.85,56,75,27.46,0.02746,3.07,0.00307,,,1.963079161,1.438700533,,0.487138375,0.298965705,0.11179898,Y
SWS_FW3_01,SW_FW_3,CF,SW,FW,F,3,l,0.0752,75.2,53,69,32.78,0.03278,0.72,0.00072,,,1.876217841,1.515608949,,-0.142667504,0.435904255,0.021964613,Y
SWS_FW2_10,SW_FW_2,CF,SW,FW,F,2,a,0.10346,103.46,57,72,40.11,0.04011,2.45,0.00245,,,2.014772474,1.603252662,,0.389166084,0.387686062,0.061082024,Y
SWS_FW2_07,SW_FW_2,CF,SW,FW,F,2,b,0.09186,91.86,56,75,36.23,0.03623,2.41,0.00241,,,1.963126441,1.559068334,,0.382017043,0.394404529,0.066519459,Y
