ID,Container_ID,Sex,Genetic_line,Treatment,Familiar_diet,Replicate,Date of Eclosion,Date of Death,Group
A1_01,A_CF_1,F,A,CF,FW,1,4/4/2023,19/4/2023,A_CF
A1_02,A_CF_1,F,A,CF,FW,1,3/4/2023,12/4/2023,A_CF
A1_04,A_CF_1,F,A,CF,FW,1,1/4/2023,14/4/2023,A_CF
A1_05,A_CF_1,M,A,CF,FW,1,1/4/2023,16/4/2023,A_CF
A1_06,A_CF_1,M,A,CF,FW,1,4/4/2023,12/4/2023,A_CF
A1_07,A_CF_1,M,A,CF,FW,1,2/4/2023,16/4/2023,A_CF
A1_08,A_CF_1,F,A,CF,FW,1,2/4/2023,11/4/2023,A_CF
A1_09,A_CF_1,M,A,CF,FW,1,4/4/2023,17/4/2023,A_CF
A1_11,A_CF_1,F,A,CF,FW,1,3/4/2023,11/4/2023,A_CF
A1_12,A_CF_1,F,A,CF,FW,1,3/4/2023,16/4/2023,A_CF
A1_13,A_CF_1,M,A,CF,FW,1,4/4/2023,19/4/2023,A_CF
A1_14,A_CF_1,M,A,CF,FW,1,5/4/2023,11/4/2023,A_CF
A1_15,A_CF_1,M,A,CF,FW,1,4/4/2023,15/4/2023,A_CF
A1_17,A_CF_1,M,A,CF,FW,1,5/4/2023,26/4/2023,A_CF
A1_19,A_CF_1,M,A,CF,FW,1,5/4/2023,17/4/2023,A_CF
A1_41,A_CF_1,M,A,CF,FW,1,2/5/2023,12/5/2023,A_CF
A2_01,A_CF_2,M,A,CF,FW,2,2/4/2023,16/4/2023,A_CF
A2_02,A_CF_2,F,A,CF,FW,2,4/4/2023,11/4/2023,A_CF
A2_03,A_CF_2,M,A,CF,FW,2,4/4/2023,14/4/2023,A_CF
A2_04,A_CF_2,M,A,CF,FW,2,4/4/2023,19/4/2023,A_CF
A2_05,A_CF_2,M,A,CF,FW,2,3/4/2023,14/4/2023,A_CF
A2_07,A_CF_2,F,A,CF,FW,2,4/4/2023,14/4/2023,A_CF
A2_08,A_CF_2,M,A,CF,FW,2,4/4/2023,18/4/2023,A_CF
A2_10,A_CF_2,M,A,CF,FW,2,4/4/2023,12/4/2023,A_CF
A2_12,A_CF_2,F,A,CF,FW,2,5/4/2023,16/4/2023,A_CF
A2_13,A_CF_2,F,A,CF,FW,2,5/4/2023,12/4/2023,A_CF
A3_01,A_CF_3,F,A,CF,FW,3,4/4/2023,16/4/2023,A_CF
A3_02,A_CF_3,M,A,CF,FW,3,4/4/2023,15/4/2023,A_CF
A3_03,A_CF_3,M,A,CF,FW,3,1/4/2023,16/4/2023,A_CF
A3_05,A_CF_3,M,A,CF,FW,3,4/4/2023,14/4/2023,A_CF
A3_06,A_CF_3,M,A,CF,FW,3,2/4/2023,16/4/2023,A_CF
A3_07,A_CF_3,M,A,CF,FW,3,3/4/2023,16/4/2023,A_CF
A3_08,A_CF_3,M,A,CF,FW,3,2/4/2023,16/4/2023,A_CF
A3_09,A_CF_3,F,A,CF,FW,3,5/4/2023,16/4/2023,A_CF
A3_10,A_CF_3,M,A,CF,FW,3,3/4/2023,16/4/2023,A_CF
A3_11,A_CF_3,M,A,CF,FW,3,4/4/2023,14/4/2023,A_CF
A3_12,A_CF_3,F,A,CF,FW,3,1/4/2023,12/4/2023,A_CF
A3_13,A_CF_3,M,A,CF,FW,3,4/4/2023,15/4/2023,A_CF
A3_14,A_CF_3,M,A,CF,FW,3,4/4/2023,14/4/2023,A_CF
A3_18,A_CF_3,M,A,CF,FW,3,5/4/2023,16/4/2023,A_CF
A3_19,A_CF_3,M,A,CF,FW,3,5/4/2023,16/4/2023,A_CF
A3_20,A_CF_3,M,A,CF,FW,3,5/4/2023,19/4/2023,A_CF
B1_01,B_CF_1,M,B,CF,FW,1,6/4/2023,16/4/2023,B_CF
B1_03,B_CF_1,M,B,CF,FW,1,4/4/2023,15/4/2023,B_CF
B1_30,B_CF_1,F,B,CF,FW,1,6/5/2023,12/5/2023,B_CF
B2_01,B_CF_2,M,B,CF,FW,2,4/4/2023,17/4/2023,B_CF
B2_02,B_CF_2,F,B,CF,FW,2,5/4/2023,16/4/2023,B_CF
B2_03,B_CF_2,F,B,CF,FW,2,6/4/2023,17/4/2023,B_CF
B2_05,B_CF_2,F,B,CF,FW,2,5/4/2023,19/4/2023,B_CF
B2_27,B_CF_2,F,B,CF,FW,2,1/5/2023,12/5/2023,B_CF
B2_28,B_CF_2,M,B,CF,FW,2,6/5/2023,15/5/2023,B_CF
B2_30,B_CF_2,M,B,CF,FW,2,21/5/2023,6/6/2023,B_CF
B3_01,B_CF_1,M,B,CF,FW,1,4/4/2023,17/4/2023,B_CF
B3_02,B_CF_1,M,B,CF,FW,1,6/4/2023,19/4/2023,B_CF
B3_03,B_CF_1,M,B,CF,FW,1,6/4/2023,19/4/2023,B_CF
B_CF4_01,B_CF_3,F,B,CF,FW,3,9/9/2023,14/9/2023,B_CF
B_CF4_04,B_CF_3,M,B,CF,FW,3,9/9/2023,16/9/2023,B_CF
B_CF4_05,B_CF_3,M,B,CF,FW,3,10/9/2023,16/9/2023,B_CF
B_CF4_06,B_CF_3,M,B,CF,FW,3,9/9/2023,14/9/2023,B_CF
B_CF4_11,B_CF_3,F,B,CF,FW,3,15/9/2023,26/9/2023,B_CF
B_CF4_15,B_CF_3,M,B,CF,FW,3,16/9/2023,22/9/2023,B_CF
B_CF4_31,B_CF_3,F,B,CF,FW,3,24/9/2023,5/10/2023,B_CF
B_CF4_32,B_CF_3,F,B,CF,FW,3,25/9/2023,5/10/2023,B_CF
B_CF4_33,B_CF_3,M,B,CF,FW,3,26/9/2023,11/10/2023,B_CF
B_CF4_34,B_CF_3,F,B,CF,FW,3,25/9/2023,6/10/2023,B_CF
B_CF4_37,B_CF_3,F,B,CF,FW,3,26/9/2023,3/10/2023,B_CF
B_CF4_38,B_CF_3,F,B,CF,FW,3,25/9/2023,6/10/2023,B_CF
B_CF4_39,B_CF_3,M,B,CF,FW,3,27/9/2023,12/10/2023,B_CF
B_CF4_40,B_CF_3,M,B,CF,FW,3,27/9/2023,9/10/2023,B_CF
B_CF4_41,B_CF_3,F,B,CF,FW,3,28/9/2023,5/10/2023,B_CF
B_CF4_42,B_CF_3,F,B,CF,FW,3,26/9/2023,4/10/2023,B_CF
B_CF4_43,B_CF_3,M,B,CF,FW,3,28/9/2023,7/10/2023,B_CF
B_CF4_44,B_CF_3,F,B,CF,FW,3,28/9/2023,9/10/2023,B_CF
B_CF4_45,B_CF_3,M,B,CF,FW,3,28/9/2023,12/10/2023,B_CF
B_CF4_46,B_CF_3,M,B,CF,FW,3,26/9/2023,4/10/2023,B_CF
B_CF4_47,B_CF_3,F,B,CF,FW,3,30/9/2023,6/10/2023,B_CF
B_CF4_48,B_CF_3,F,B,CF,FW,3,7/10/2023,18/10/2023,B_CF
B_CF4_49,B_CF_3,F,B,CF,FW,3,7/10/2023,19/10/2023,B_CF
B_CF4_50,B_CF_3,F,B,CF,FW,3,9/10/2023,16/10/2023,B_CF
B_CF4_51,B_CF_3,F,B,CF,FW,3,8/10/2023,18/10/2023,B_CF
B_CF4_52,B_CF_3,M,B,CF,FW,3,13/10/2023,19/10/2023,B_CF
B_CF4_53,B_CF_3,M,B,CF,FW,3,15/10/2023,23/10/2023,B_CF
B_CF4_54,B_CF_3,M,B,CF,FW,3,15/10/2023,27/10/2023,B_CF
A_FW1_01,A_FW_1,M,A,FW,FW,1,7/9/2023,16/9/2023,A_FW
A_FW1_04,A_FW_1,M,A,FW,FW,1,6/9/2023,16/9/2023,A_FW
A_FW1_06,A_FW_1,F,A,FW,FW,1,6/9/2023,14/9/2023,A_FW
A_FW1_07,A_FW_1,M,A,FW,FW,1,6/9/2023,17/9/2023,A_FW
A_FW1_09,A_FW_1,M,A,FW,FW,1,7/9/2023,19/9/2023,A_FW
A_FW1_10,A_FW_1,M,A,FW,FW,1,7/9/2023,16/9/2023,A_FW
A_FW1_15,A_FW_1,M,A,FW,FW,1,6/9/2023,13/9/2023,A_FW
A_FW1_20,A_FW_1,M,A,FW,FW,1,6/9/2023,13/9/2023,A_FW
A_FW1_21,A_FW_1,M,A,FW,FW,1,6/9/2023,13/9/2023,A_FW
A_FW1_22,A_FW_1,M,A,FW,FW,1,6/9/2023,14/9/2023,A_FW
A_FW1_23,A_FW_1,M,A,FW,FW,1,6/9/2023,13/9/2023,A_FW
A_FW1_26,A_FW_1,F,A,FW,FW,1,6/9/2023,13/9/2023,A_FW
A_FW1_28,A_FW_1,F,A,FW,FW,1,6/9/2023,16/9/2023,A_FW
A_FW1_29,A_FW_1,M,A,FW,FW,1,7/9/2023,16/9/2023,A_FW
A_FW1_30,A_FW_1,M,A,FW,FW,1,6/9/2023,14/9/2023,A_FW
A_FW1_31,A_FW_1,F,A,FW,FW,1,6/9/2023,13/9/2023,A_FW
A_FW1_32,A_FW_1,M,A,FW,FW,1,8/9/2023,16/9/2023,A_FW
A_FW1_33,A_FW_1,M,A,FW,FW,1,6/9/2023,13/9/2023,A_FW
A_FW1_34,A_FW_1,M,A,FW,FW,1,6/9/2023,13/9/2023,A_FW
A_FW1_35,A_FW_1,F,A,FW,FW,1,6/9/2023,14/9/2023,A_FW
A_FW1_36,A_FW_1,F,A,FW,FW,1,7/9/2023,16/9/2023,A_FW
A_FW1_39,A_FW_1,F,A,FW,FW,1,6/9/2023,17/9/2023,A_FW
A_FW1_42,A_FW_1,M,A,FW,FW,1,6/9/2023,13/9/2023,A_FW
A_FW1_47,A_FW_1,F,A,FW,FW,1,8/9/2023,21/9/2023,A_FW
A_FW1_48,A_FW_1,M,A,FW,FW,1,8/9/2023,18/9/2023,A_FW
A_FW1_49,A_FW_1,F,A,FW,FW,1,8/9/2023,19/9/2023,A_FW
A_FW1_52,A_FW_1,F,A,FW,FW,1,8/9/2023,22/9/2023,A_FW
A_FW1_53,A_FW_1,F,A,FW,FW,1,8/9/2023,16/9/2023,A_FW
A_FW1_58,A_FW_1,F,A,FW,FW,1,8/9/2023,21/9/2023,A_FW
A_FW1_59,A_FW_1,F,A,FW,FW,1,8/9/2023,16/9/2023,A_FW
A_FW1_61,A_FW_1,F,A,FW,FW,1,8/9/2023,16/9/2023,A_FW
A_FW1_65,A_FW_1,F,A,FW,FW,1,8/9/2023,17/9/2023,A_FW
A_FW1_66,A_FW_1,M,A,FW,FW,1,8/9/2023,17/9/2023,A_FW
A_FW1_67,A_FW_1,F,A,FW,FW,1,8/9/2023,17/9/2023,A_FW
A_FW1_68,A_FW_1,F,A,FW,FW,1,9/9/2023,17/9/2023,A_FW
